"ano","nome","classificacao","duracao","generos"
"1994","The Shawshank Redemption","R","2h 22m","Drama"
"1972","The Godfather","R","2h 55m","Crime,Drama"
"2008","The Dark Knight","PG-13","2h 32m","Action,Crime,Drama"
"1974","The Godfather Part II","R","3h 22m","Crime,Drama"
"1957","12 Angry Men","Approved","1h 36m","Crime,Drama"
"1993","Schindler's List","R","3h 15m","Biography,Drama,History"
"2003","The Lord of the Rings: The Return of the King","PG-13","3h 21m","Action,Adventure,Drama"
"1994","Pulp Fiction","R","2h 34m","Crime,Drama"
"2001","The Lord of the Rings: The Fellowship of the Ring","PG-13","2h 58m","Action,Adventure,Drama"
"1966","The Good, the Bad and the Ugly","Approved","2h 58m","Adventure,Western"
"1994","Forrest Gump","PG-13","2h 22m","Drama,Romance"
"1999","Fight Club","R","2h 19m","Drama"
"2002","The Lord of the Rings: The Two Towers","PG-13","2h 59m","Action,Adventure,Drama"
"2010","Inception","PG-13","2h 28m","Action,Adventure,Sci-Fi"
"1980","Star Wars: Episode V - The Empire Strikes Back","PG","2h 4m","Action,Adventure,Fantasy"
"1999","The Matrix","R","2h 16m","Action,Sci-Fi"
"1990","Goodfellas","R","2h 25m","Biography,Crime,Drama"
"1975","One Flew Over the Cuckoo's Nest","18+","2h 13m","Drama"
"1995","Se7en","R","2h 7m","Crime,Drama,Mystery"
"1954","Seven Samurai","Not Rated","3h 27m","Action,Drama"
"1946","It's a Wonderful Life","PG","2h 10m","Drama,Family,Fantasy"
"1991","The Silence of the Lambs","R","1h 58m","Crime,Drama,Thriller"
"2002","City of God","R","2h 10m","Crime,Drama"
"1998","Saving Private Ryan","R","2h 49m","Drama,War"
"2014","Interstellar","PG-13","2h 49m","Adventure,Drama,Sci-Fi"
"1997","Life Is Beautiful","PG-13","1h 56m","Comedy,Drama,Romance"
"1999","The Green Mile","R","3h 9m","Crime,Drama,Fantasy"
"1977","Star Wars: Episode IV - A New Hope","PG","2h 1m","Action,Adventure,Fantasy"
"1991","Terminator 2: Judgment Day","R","2h 17m","Action,Sci-Fi"
"1985","Back to the Future","PG","1h 56m","Adventure,Comedy,Sci-Fi"
"2001","Spirited Away","PG","2h 5m","Animation,Adventure,Family"
"2002","The Pianist","R","2h 30m","Biography,Drama,Music"
"1960","Psycho","R","1h 49m","Horror,Mystery,Thriller"
"2019","Parasite","R","2h 12m","Drama,Thriller"
"1994","Léon: The Professional","R","1h 50m","Action,Crime,Drama"
"1994","The Lion King","G","1h 28m","Animation,Adventure,Drama"
"2000","Gladiator","R","2h 35m","Action,Adventure,Drama"
"1998","American History X","R","1h 59m","Crime,Drama"
"2006","The Departed","R","2h 31m","Crime,Drama,Thriller"
"1995","The Usual Suspects","R","1h 46m","Crime,Drama,Mystery"
"2006","The Prestige","PG-13","2h 10m","Drama,Mystery,Sci-Fi"
"2014","Whiplash","R","1h 46m","Drama,Music"
"1942","Casablanca","PG","1h 42m","Drama,Romance,War"
"1988","Grave of the Fireflies","Not Rated","1h 29m","Animation,Drama,War"
"1962","Harakiri","Not Rated","2h 13m","Action,Drama,Mystery"
"2011","The Intouchables","R","1h 52m","Biography,Comedy,Drama"
"1936","Modern Times","G","1h 27m","Comedy,Drama,Romance"
"1968","Once Upon a Time in the West","PG-13","2h 45m","Western"
"1954","Rear Window","PG","1h 52m","Mystery,Thriller"
"1988","Cinema Paradiso","PG","2h 35m","Drama,Romance"
"1979","Alien","R","1h 57m","Horror,Sci-Fi"
"1931","City Lights","G","1h 27m","Comedy,Drama,Romance"
"1979","Apocalypse Now","R","2h 27m","Drama,Mystery,War"
"2000","Memento","R","1h 53m","Mystery,Thriller"
"2012","Django Unchained","R","2h 45m","Drama,Western"
"1981","Indiana Jones and the Raiders of the Lost Ark","PG","1h 55m","Action,Adventure"
"2008","WALL·E","G","1h 38m","Animation,Adventure,Family"
"2006","The Lives of Others","R","2h 17m","Drama,Mystery,Thriller"
"1950","Sunset Blvd.","Passed","1h 50m","Drama,Film-Noir"
"1957","Paths of Glory","Approved","1h 28m","Drama,War"
"1980","The Shining","R","2h 26m","Drama,Horror"
"1940","The Great Dictator","G","2h 5m","Comedy,Drama,War"
"2018","Avengers: Infinity War","PG-13","2h 29m","Action,Adventure,Sci-Fi"
"1957","Witness for the Prosecution","Approved","1h 56m","Crime,Drama,Mystery"
"1986","Aliens","R","2h 17m","Action,Adventure,Sci-Fi"
"2018","Spider-Man: Into the Spider-Verse","PG","1h 57m","Animation,Action,Adventure"
"1999","American Beauty","R","2h 2m","Drama"
"1964","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","PG","1h 35m","Comedy,War"
"2012","The Dark Knight Rises","PG-13","2h 44m","Action,Drama"
"2003","Oldboy","R","2h","Action,Drama,Mystery"
"2009","Inglourious Basterds","R","2h 33m","Adventure,Drama,War"
"1984","Amadeus","PG","2h 40m","Biography,Drama,Music"
"2017","Coco","PG","1h 45m","Animation,Adventure,Comedy"
"1995","Toy Story","G","1h 21m","Animation,Adventure,Comedy"
"2019","Joker","R","2h 2m","Crime,Drama,Thriller"
"1995","Braveheart","R","2h 58m","Biography,Drama,History"
"1981","The Boat","Not Available","Not Available","Drama,War"
"2019","Avengers: Endgame","PG-13","3h 1m","Action,Adventure,Drama"
"1997","Princess Mononoke","PG-13","2h 14m","Animation,Action,Adventure"
"1984","Once Upon a Time in America","R","3h 49m","Crime,Drama"
"1997","Good Will Hunting","R","2h 6m","Drama,Romance"
"2016","Your Name.","TV-PG","1h 46m","Animation,Drama,Fantasy"
"2009","3 Idiots","PG-13","2h 50m","Comedy,Drama"
"1952","Singin' in the Rain","G","1h 43m","Comedy,Musical,Romance"
"2000","Requiem for a Dream","Unrated","1h 42m","Drama"
"2010","Toy Story 3","G","1h 43m","Animation,Adventure,Comedy"
"1963","High and Low","Not Rated","2h 23m","Crime,Drama,Mystery"
"2018","Capernaum","R","2h 6m","Drama"
"1983","Star Wars: Episode VI - Return of the Jedi","PG","2h 11m","Action,Adventure,Fantasy"
"2004","Eternal Sunshine of the Spotless Mind","R","1h 48m","Drama,Romance,Sci-Fi"
"1968","2001: A Space Odyssey","G","2h 29m","Adventure,Sci-Fi"
"1992","Reservoir Dogs","R","1h 39m","Crime,Thriller"
"1985","Come and See","Not Rated","2h 22m","Drama,Thriller,War"
"2012","The Hunt","R","1h 55m","Drama"
"1941","Citizen Kane","PG","1h 59m","Drama,Mystery"
"1931","M","Passed","1h 39m","Crime,Mystery,Thriller"
"1962","Lawrence of Arabia","Approved","3h 38m","Adventure,Biography,Drama"
"1959","North by Northwest","Approved","2h 16m","Action,Adventure,Mystery"
"1958","Vertigo","PG","2h 8m","Mystery,Romance,Thriller"
"1952","Ikiru","Not Rated","2h 23m","Drama"
"2001","Amélie","R","2h 2m","Comedy,Romance"
"1960","The Apartment","Approved","2h 5m","Comedy,Drama,Romance"
"1971","A Clockwork Orange","X","2h 16m","Crime,Sci-Fi"
"1944","Double Indemnity","Passed","1h 47m","Crime,Drama,Film-Noir"
"1987","Full Metal Jacket","R","1h 56m","Drama,War"
"2022","Top Gun: Maverick","PG-13","2h 10m","Action,Drama"
"1983","Scarface","R","2h 50m","Crime,Drama"
"2020","Hamilton","PG-13","2h 40m","Biography,Drama,History"
"2010","Incendies","R","2h 11m","Drama,Mystery"
"1962","To Kill a Mockingbird","Approved","2h 9m","Crime,Drama"
"1995","Heat","R","2h 50m","Action,Crime,Drama"
"1973","The Sting","PG","2h 9m","Comedy,Crime,Drama"
"2009","Up","PG","1h 36m","Animation,Adventure,Comedy"
"2011","A Separation","PG-13","2h 3m","Drama"
"1927","Metropolis","Not Rated","2h 33m","Drama,Sci-Fi"
"1976","Taxi Driver","R","1h 54m","Crime,Drama"
"1997","L.A. Confidential","R","2h 18m","Crime,Drama,Mystery"
"1988","Die Hard","R","2h 12m","Action,Thriller"
"2000","Snatch","R","1h 42m","Comedy,Crime"
"1989","Indiana Jones and the Last Crusade","PG-13","2h 7m","Action,Adventure"
"1948","Bicycle Thieves","Not Rated","1h 29m","Drama"
"2007","Like Stars on Earth","PG","2h 45m","Drama,Family"
"2019","1917","R","1h 59m","Action,Drama,War"
"2004","Downfall","R","2h 36m","Biography,Drama,History"
"2016","Dangal","Not Rated","2h 41m","Action,Biography,Drama"
"1965","For a Few Dollars More","R","2h 12m","Western"
"2005","Batman Begins","PG-13","2h 20m","Action,Crime,Drama"
"1921","The Kid","Passed","1h 8m","Comedy,Drama,Family"
"1959","Some Like It Hot","Passed","2h 1m","Comedy,Music,Romance"
"2020","The Father","PG-13","1h 37m","Drama,Mystery"
"1950","All About Eve","Passed","2h 18m","Drama"
"2013","The Wolf of Wall Street","R","3h","Biography,Comedy,Crime"
"2018","Green Book","PG-13","2h 10m","Biography,Comedy,Drama"
"1961","Judgment at Nuremberg","Approved","2h 59m","Drama,War"
"1995","Casino","R","2h 58m","Crime,Drama"
"1985","Ran","R","2h 42m","Action,Drama,War"
"2006","Pan's Labyrinth","R","1h 58m","Drama,Fantasy,War"
"1998","The Truman Show","PG","1h 43m","Comedy,Drama"
"2007","There Will Be Blood","R","2h 38m","Drama"
"1992","Unforgiven","R","2h 10m","Drama,Western"
"1999","The Sixth Sense","PG-13","1h 47m","Drama,Mystery,Thriller"
"2010","Shutter Island","R","2h 18m","Mystery,Thriller"
"2001","A Beautiful Mind","PG-13","2h 15m","Biography,Drama"
"1993","Jurassic Park","PG-13","2h 7m","Action,Adventure,Sci-Fi"
"1961","Yojimbo","Not Rated","1h 50m","Action,Drama,Thriller"
"1948","The Treasure of the Sierra Madre","Passed","2h 6m","Adventure,Drama,Western"
"1975","Monty Python and the Holy Grail","PG","1h 31m","Adventure,Comedy,Fantasy"
"1963","The Great Escape","Approved","2h 52m","Adventure,Drama,History"
"2007","No Country for Old Men","R","2h 2m","Crime,Drama,Thriller"
"2021","Spider-Man: No Way Home","PG-13","2h 28m","Action,Adventure,Fantasy"
"2003","Kill Bill: Vol. 1","R","1h 51m","Action,Crime,Drama"
"1950","Rashomon","Not Rated","1h 28m","Crime,Drama,Mystery"
"1982","The Thing","R","1h 49m","Horror,Mystery,Sci-Fi"
"2003","Finding Nemo","G","1h 40m","Animation,Adventure,Comedy"
"1980","The Elephant Man","PG","2h 4m","Biography,Drama"
"1974","Chinatown","R","2h 10m","Drama,Mystery,Thriller"
"1980","Raging Bull","R","2h 9m","Biography,Drama,Sport"
"2005","V for Vendetta","R","2h 12m","Action,Drama,Sci-Fi"
"1939","Gone with the Wind","Passed","3h 58m","Drama,Romance,War"
"1998","Lock, Stock and Two Smoking Barrels","R","1h 47m","Action,Comedy,Crime"
"2015","Inside Out","PG","1h 35m","Animation,Adventure,Comedy"
"1954","Dial M for Murder","PG","1h 45m","Crime,Thriller"
"2009","The Secret in Their Eyes","R","2h 9m","Drama,Mystery,Romance"
"2004","Howl's Moving Castle","PG","1h 59m","Animation,Adventure,Family"
"2017","Three Billboards Outside Ebbing, Missouri","R","1h 55m","Comedy,Crime,Drama"
"1957","The Bridge on the River Kwai","PG","2h 41m","Adventure,Drama,War"
"1996","Trainspotting","R","1h 33m","Drama"
"2013","Prisoners","R","2h 33m","Crime,Drama,Mystery"
"2011","Warrior","PG-13","2h 20m","Action,Drama,Sport"
"1996","Fargo","R","1h 38m","Crime,Thriller"
"2008","Gran Torino","R","1h 56m","Drama"
"1988","My Neighbor Totoro","G","1h 26m","Animation,Comedy,Family"
"2002","Catch Me If You Can","PG-13","2h 21m","Biography,Crime,Drama"
"2004","Million Dollar Baby","PG-13","2h 12m","Drama,Sport"
"1997","Children of Heaven","PG","1h 29m","Drama,Family,Sport"
"1982","Blade Runner","R","1h 57m","Action,Drama,Sci-Fi"
"1925","The Gold Rush","Passed","1h 35m","Adventure,Comedy,Drama"
"1995","Before Sunrise","R","1h 41m","Drama,Romance"
"2013","12 Years a Slave","R","2h 14m","Biography,Drama,History"
"2019","Klaus","PG","1h 36m","Animation,Adventure,Comedy"
"2011","Harry Potter and the Deathly Hallows: Part 2","PG-13","2h 10m","Adventure,Family,Fantasy"
"1954","On the Waterfront","Approved","1h 48m","Crime,Drama,Thriller"
"1959","Ben-Hur","G","3h 32m","Adventure,Drama"
"2014","Gone Girl","R","2h 29m","Drama,Mystery,Thriller"
"2014","The Grand Budapest Hotel","R","1h 39m","Adventure,Comedy,Crime"
"1957","Wild Strawberries","Not Rated","1h 31m","Drama,Romance"
"1926","The General","Passed","1h 7m","Action,Adventure,Comedy"
"1949","The Third Man","Approved","1h 33m","Film-Noir,Mystery,Thriller"
"1993","In the Name of the Father","R","2h 13m","Biography,Crime,Drama"
"1978","The Deer Hunter","R","3h 3m","Drama,War"
"1975","Barry Lyndon","PG","3h 5m","Adventure,Drama,War"
"2016","Hacksaw Ridge","R","2h 19m","Biography,Drama,History"
"1953","The Wages of Fear","Not Rated","2h 11m","Adventure,Drama,Thriller"
"2003","Memories of Murder","Not Rated","2h 12m","Crime,Drama,Mystery"
"1924","Sherlock Jr.","Passed","45m","Action,Comedy,Romance"
"2014","Wild Tales","R","2h 2m","Comedy,Drama,Thriller"
"1939","Mr. Smith Goes to Washington","Passed","2h 9m","Comedy,Drama"
"2015","Mad Max: Fury Road","R","2h","Action,Adventure,Sci-Fi"
"1957","The Seventh Seal","Not Rated","1h 36m","Drama,Fantasy"
"2009","Mary and Max","Not Rated","1h 32m","Animation,Comedy,Drama"
"2010","How to Train Your Dragon","PG","1h 38m","Animation,Action,Adventure"
"2015","Room","R","1h 58m","Drama,Thriller"
"2001","Monsters, Inc.","G","1h 32m","Animation,Adventure,Comedy"
"1975","Jaws","PG","2h 4m","Adventure,Thriller"
"1989","Dead Poets Society","PG","2h 8m","Comedy,Drama"
"1998","The Big Lebowski","R","1h 57m","Comedy,Crime"
"1953","Tokyo Story","Not Rated","2h 16m","Drama"
"1928","The Passion of Joan of Arc","Passed","1h 54m","Biography,Drama,History"
"2004","Hotel Rwanda","PG-13","2h 1m","Biography,Drama,History"
"2019","Ford v Ferrari","PG-13","2h 32m","Action,Biography,Drama"
"1976","Rocky","PG","2h","Drama,Sport"
"1986","Platoon","R","2h","Drama,War"
"2007","Ratatouille","G","1h 51m","Animation,Adventure,Comedy"
"2015","Spotlight","R","2h 9m","Biography,Crime,Drama"
"1984","The Terminator","R","1h 47m","Action,Sci-Fi"
"2017","Logan","R","2h 17m","Action,Drama,Sci-Fi"
"1986","Stand by Me","13+","1h 29m","Adventure,Drama"
"2013","Rush","R","2h 3m","Action,Biography,Drama"
"1976","Network","R","2h 1m","Drama"
"2007","Into the Wild","R","2h 28m","Adventure,Biography,Drama"
"2004","Before Sunset","R","1h 20m","Drama,Romance"
"1939","The Wizard of Oz","G","1h 42m","Adventure,Family,Fantasy"
"1955","Pather Panchali","Not Rated","2h 5m","Drama"
"1993","Groundhog Day","PG","1h 41m","Comedy,Drama,Fantasy"
"1946","The Best Years of Our Lives","Approved","2h 50m","Drama,Romance,War"
"1973","The Exorcist","R","2h 2m","Horror"
"2004","The Incredibles","PG","1h 55m","Animation,Action,Adventure"
"1942","To Be or Not to Be","Passed","1h 39m","Comedy,Romance,War"
"1995","La haine","Not Rated","1h 38m","Crime,Drama"
"1966","The Battle of Algiers","Not Rated","2h 1m","Drama,War"
"2003","Pirates of the Caribbean: The Curse of the Black Pearl","PG-13","2h 23m","Action,Adventure,Fantasy"
"2009","Hachi: A Dog's Tale","G","1h 33m","Biography,Drama,Family"
"1940","The Grapes of Wrath","Passed","2h 9m","Drama"
"2021","Jai Bhim","TV-MA","2h 44m","Crime,Drama,Mystery"
"2005","My Father and My Son","Not Rated","1h 52m","Drama,Family"
"2000","Amores Perros","R","2h 34m","Drama,Thriller"
"1940","Rebecca","Approved","2h 10m","Drama,Film-Noir,Mystery"
"1967","Cool Hand Luke","GP","2h 7m","Crime,Drama"
"2016","The Handmaiden","Not Rated","2h 25m","Drama,Romance,Thriller"
"1959","The 400 Blows","Not Rated","1h 39m","Crime,Drama"
"1965","The Sound of Music","G","2h 52m","Biography,Drama,Family"
"1934","It Happened One Night","Passed","1h 45m","Comedy,Romance"
"1966","Persona","Not Rated","1h 23m","Drama,Thriller"
"1979","Life of Brian","R","1h 34m","Comedy"
"1999","The Iron Giant","PG","1h 26m","Animation,Action,Adventure"
"2011","The Help","PG-13","2h 26m","Drama"
"1975","Dersu Uzala","G","2h 22m","Adventure,Biography,Drama"
"1992","Aladdin","G","1h 30m","Animation,Adventure,Comedy"
"1982","Gandhi","PG","3h 11m","Biography,Drama,History"
"1990","Dances with Wolves","PG-13","3h 1m","Adventure,Drama,Western"
